"S/N","STATE","CONSTITUENCY","PARTY","POSITION","CANDIDATE_NAME","PWD","AGE","GENDER","QUALIFICATIONS","REMARKS"
"501","IMO","IMO WEST","PDP","Senate","ONYERERI JONES","None","55","M","FSLC GCE BSC",""
"","","","","","CHUKWUDI VICTOR","","","","",""
"502","IMO","IMO WEST","PRP","Senate","ISHIODU UCHECHUKWU","None","39","M","F.S.L.C WAEC",""
"","","","","","ERNEST","","","","",""
"503","IMO","IMO NORTH","SDP","Senate","NWOKE EGBOMUCHE","None","41","M","NECO",""
"","","","","","CHIJIOKE","","","","",""
"504","IMO","IMO WEST","SDP","Senate","EGWUAGU AUSTIN KALU","None","63","M","WAEC BACHELOR OF",""
ARTS",""
"505","IMO","IMO EAST","SDP","Senate","UCHEOMA JOHN","None","65","M","FSLC SSCE",""
"","","","","","OKECHUKWU","","","","",""
"506","IMO","IMO NORTH","YPP","Senate","ODU ANTHONY OKWUDIRI","None","58","M","FSLC WASSCE BED",""
"","","","","",".C.","","","","",""
"507","IMO","IMO WEST","YPP","Senate","OPURUM CYRIL","None","64","M","FSLC WASSCE BSC",""
"","","","","","CHUKWUDI","","","","",""
"508","IMO","IMO EAST","YPP","Senate","OKERE JONATHAN","None","62","M","BA,MA,PHD",""
"","","","","","ONYEMAUCHECHUKWU","","","","",""
"509","IMO","IMO EAST","ZLP","Senate","OSUJI CHUKWUEMEKA","None","74","M","WAEC BACHELOR OF",""
"","","","","","SAMUEL","","","","LAWS",""
"510","IMO","IMO NORTH","ZLP","Senate","OKOLORIE UCHECHUKWU","None","37","M","WAEC",""
"","","","","","STEPHEN","","","","",""
"511","IMO","IMO WEST","ZLP","Senate","NNANNA JOSEPH CHUDI","None","65","M","WAEC",""
"512","JIGAWA","JIGAWA NORTH","ADC","Senate","BAFFA ABBA ABDULLAHI","None","38","M","",""
"","","- EAST","","","","","","","",""
"513","JIGAWA","JIGAWA SOUTH -","ADC","Senate","MUSA ABDULLAHI","None","62","M","",""
"","","WEST","","","","","","","",""
"514","JIGAWA","JIGAWA NORTH -","ADC","Senate","NASIRU BALA","None","36","M","FSLC SSCE BSc",""
"","","WEST","","","","","","","",""
"515","JIGAWA","JIGAWA NORTH -","ADP","Senate","NURA SAIFUDDIN","None","35","M","FIRST SCHOOL",""
"","","WEST","","","","","","","LEAVING CERTIFICATE",""
SSCE",""
"516","JIGAWA","JIGAWA NORTH","ADP","Senate","IBRAHEEM AMINU","None","56","M","FIRST SCHOOL",""
"","","- EAST","","","","","","","LEAVING CERTIFICATE",""
SSCE",""
"517","JIGAWA","JIGAWA NORTH","APC","Senate","ABDULHAMID MALLAM-","None","56","M","PRIMARY",""
"","","- EAST","","","MADORI AHMED","","","","CERTIFICATE",""
MALLAM-MADORI",""
TEACHERS COLLEGE",""
KANO STATE",""
POLYTECHNIC",""
"518","JIGAWA","JIGAWA SOUTH -","APC","Senate","SABO MOHAMMED","None","62","M","FSLC, WAEC, BA.ED","DEATH"
"","","WEST","","","","","","","",""
"519","JIGAWA","JIGAWA NORTH -","APC","Senate","HUSSAINI BABANGIDA UBA","None","58","M","PRIMARY LEAVING",""
"","","WEST","","","","","","","CERTIFICATE G.C.E 'O'",""
LEVEL",""
"520","JIGAWA","JIGAWA NORTH","LP","Senate","GINGI ISYAKU HADEJIA","None","57","M","FSLC WAEC/GCE",""
"","","- EAST","","","","","","","",""
"521","JIGAWA","JIGAWA NORTH","NNPP","Senate","GARBA MOHAMMED","None","51","M","AUY0 PRIMARY",""
"","","- EAST","","","","","","","SCHOOL SENIOR",""
SCHOOL",""
"522","JIGAWA","JIGAWA SOUTH -","NNPP","Senate","MUSA BAKO","None","64","M","CERTIFICATE OF",""
"","","WEST","","","","","","","PRIMARY SSCE",""
"523","JIGAWA","JIGAWA SOUTH -","NRM","Senate","IBRAHIM HINDATU","None","41","F","FRIST SCHOOL",""
"","","WEST","","","","","","","LEAVING CERTIFICATE",""
NECO COLLEGE OF",""
HEALTH SCIENCES",""
AND TECHNOLOGY",""
"524","JIGAWA","JIGAWA NORTH","NRM","Senate","MOHAMMED GARBA UMAR None","","48","M","FSLC WAEC",""
"","","- EAST","","","","","","","",""
"525","JIGAWA","JIGAWA NORTH -","NRM","Senate","SALISU SHAMWILU","None","35","M","FRIST SCHOOL",""
"","","WEST","","","","","","","LEAVING CERTIFICATE",""
NECO B.TECH",""
"526","JIGAWA","JIGAWA SOUTH -","PDP","Senate","KHABEEB  MUSTAPHA","None","72","M","FSLC SSCE BSc.",""
"","","WEST","","","","","","","",""
"527","JIGAWA","JIGAWA NORTH","PDP","Senate","MUHAMMAD DR.","None","45","M","FSLC SSCE MBBS",""
"","","- EAST","","","NURUDDEEN","","","","",""
"528","JIGAWA","JIGAWA NORTH -","PDP","Senate","SAMINU IBRAHIM TURAKI","None","59","M","FSLC/AFFIDAVIT SSCE",""
"","","WEST","","","","","","","BSc.",""
"529","JIGAWA","JIGAWA NORTH -","SDP","Senate","ALKALI MOHAMMED DADE","None","72","M","FLSC WASSC hdi",""
"","","WEST","","","","","","","",""
"530","JIGAWA","JIGAWA NORTH","SDP","Senate","MUHAMMAD KABIRU","None","65","M","FLSC",""
"","","- EAST","","","","","","","",""
"531","JIGAWA","JIGAWA SOUTH -","SDP","Senate","GAMBO BALA AMINA1","None","40","F","FLSC WASSC",""
"","","WEST","","","","","","","DIPLOMA",""
"532","JIGAWA","JIGAWA NORTH -","ZLP","Senate","LAWAN AUWALU","None","41","M","NECO",""
"","","WEST","","","","","","","",""
"533","JIGAWA","JIGAWA NORTH","ZLP","Senate","ABDUL IBRAHIM","None","52","M","GRADE 2",""
"534","KADUNA","KADUNA SOUTH","AA","Senate","BODUKU HENRY PETER","None","36","M","F.S.L.C  WAEC/NECO",""
BS.C",""
"535","KADUNA","KADUNA","AA","Senate","AKINSOYINU OLAKUNLE","None","45","M","F.S.L.C  WAEC HND",""
"","","CENTRAL","","","","","","","",""
"536","KADUNA","KADUNA SOUTH","ADC","Senate","KUTI  LUTI","None","66","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WACE MSC",""
"537","KADUNA","KADUNA","ADC","Senate","MUSA IBRAHIM","None","40","M","FIRST SCHOOL",""
"","","CENTRAL","","","","","","","LEAVING CERTIFICATE",""
SSCE CONFIDENTIAL",""
SECRETARY",""
CERTIFICATE",""
"538","KADUNA","KADUNA NORTH","ADC","Senate","ABDULLAHI SULEIMAN","None","51","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SSCE B.A",""
"539","KADUNA","KADUNA NORTH","APC","Senate","KWARI SULEIMAN ABDU","None","60","M","FSLC WASC",""
B.sc (BUSINESS",""
ADMINISTRATION)",""
"540","KADUNA","KADUNA SOUTH","APC","Senate","HON. BULUS BANQUO","None","61","M","LERI PRIMARY SCH J/",""
"","","","","","AUDU","","","","KOGO RIMI COLLEGE",""
KADUNA KADUNA",""
POLYTECHNIC",""
"541","KADUNA","KADUNA","APC","Senate","ABDULLAHI MUHAMMAD","None","42","M","FIRST SCHOOL",""
"","","CENTRAL","","","SANI","","","","LEAVING",""
CERTIFICATE WASC",""
M.sc DEVELOPMENT",""
ECONOMICS",""
"542","KADUNA","KADUNA","APGA","Senate","GANKON SAMUEL KATTEY","None","63","M","FSLC WAEC OND, BSC,",""
"","","CENTRAL","","","","","","","MBA",""
"543","KADUNA","KADUNA NORTH","APM","Senate","YAKUBU SAMBO","None","47","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WAEC DIPLOMA",""
"544","KADUNA","KADUNA","APM","Senate","BALA CHICHET","None","35","M","FSLC WAEC",""
"","","CENTRAL","","","","","","","B.ENGINEERING",""
"545","KADUNA","KADUNA","APP","Senate","MANSUR UMAR","None","38","M","FSLC SSCE",""
"","","CENTRAL","","","","","","","",""
"546","KADUNA","KADUNA","LP","Senate","IBRAHIM MUHAMMAD","None","51","M","FSLC SSCE B.Sc",""
"","","CENTRAL","","","SANI","","","","",""
"547","KADUNA","KADUNA SOUTH","LP","Senate","AYUBA MICHAEL","None","39","M","FSLC Neco",""
"548","KADUNA","KADUNA NORTH","LP","Senate","SIDI IBRAHIM BAMALLI","None","62","M","FSLC WASCE B.Sc",""
"549","KADUNA","KADUNA","NNPP","Senate","UMAR AHMAD TIJJANI","None","51","M","PRIMARY SCHOOL",""
"","","CENTRAL","","","","","","","CERTIFICATE SSCE",""
"550","KADUNA","KADUNA SOUTH","NNPP","Senate","TOKWAK MACHU","None","66","M","PRIMARY SCHOOL",""
SSCE BACHELOR",""
DEGREE",""
"551","KADUNA","KADUNA NORTH","NNPP","Senate","ABDULKARIM YAKASAI","None","57","M","PRIMARY SCHOOL",""
CERTIFICATE GRADE",""
II",""
"552","KADUNA","KADUNA","NRM","Senate","ALIYU ISMAIL","None","36","M","FRIST SCHOOL",""
"","","CENTRAL","","","","","","","LEAVING CERTIFICATE",""
NECO HIGHER",""
NATIONAL DIPLOMA",""
"553","KADUNA","KADUNA SOUTH","NRM","Senate","SULEIMAN ADAMS","None","66","M","FIRST SCHOOL",""
LEAVING GCE",""
"554","KADUNA","KADUNA","PDP","Senate","USMAN LAWAL ADAMU","None","47","M","FSLC SSCE BSc PUBLIC",""
"","","CENTRAL","","","","","","","ADMINISTRATION",""
"555","KADUNA","KADUNA NORTH","PDP","Senate","KHALID IBRAHIM","None","57","M","FSLC WAEC BL",""
"","","","","","MUSTAPHA","","","","(ISLAMIC LAW)",""
"556","KADUNA","KADUNA SOUTH","PDP","Senate","KATUNG SUNDAY","None","61","M","WASC BLL",""
"","","","","","MARSHALL","","","","",""
"557","KADUNA","KADUNA SOUTH","PRP","Senate","BABALO NURUDDEEN","None","42","M","FIRST SCHOOL",""
"","","","","","BABALO","","","","LEAVING CERTIFICATE",""
SSCE ND",""
"558","KADUNA","KADUNA","PRP","Senate","MOHAMMED ZUBAIRU","None","41","M","FIRST SCHOOL",""
"","","CENTRAL","","","KAITA","","","","LEAVING CERTIFICATE",""
WAEC certificate HND",""
"559","KADUNA","KADUNA NORTH","PRP","Senate","AHMAD ABDULLAHI","None","37","M","FIRST SCHOOL",""
"560","KADUNA","KADUNA NORTH","SDP","Senate","RABIU ADAMU","None","52","M","FSLC SSCE BSC",""
"561","KADUNA","KADUNA SOUTH","SDP","Senate","MURTALA HABIBU","None","64","M","",""
"562","KADUNA","KADUNA","SDP","Senate","IDRIS  HAJARA","None","45","F","FSLC SSCE",""
"","","CENTRAL","","","","","","","",""
"563","KADUNA","KADUNA SOUTH","ZLP","Senate","ISHAKU YUSUF","None","48","M","FSLC WAEC HND",""
"564","KADUNA","KADUNA NORTH","ZLP","Senate","USSAINI MUNTARI","None","42","M","FSLC ssce ND",""
"565","KANO","KANO NORTH","AA","Senate","IBRAHIM MOHD","None","43","M","F.S.L.C  WAEC HND",""
"","","","","","ABDULHADI","","","","",""
"566","KANO","KANO CENTRAL","AA","Senate","ISYAKU WADA","None","45","M","F.S.L.C  WAEC",""
ADVANCE DIPLOMA",""
"567","KANO","KANO SOUTH","AA","Senate","IDRIS BASHEER BN","None","40","M","F.S.L.C  NECO NCE",""
"","","","","","ABALLAM","","","","",""
"568","KANO","KANO SOUTH","ADC","Senate","MUKHTAR SAGIR SANI","None","45","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SSCE HND",""
"569","KANO","KANO NORTH","ADC","Senate","MUAZU JAMILU SANI","None","49","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SSCE HND",""
"570","KANO","KANO CENTRAL","ADC","Senate","RUFAI BALARABE","None","46","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WEST AFRICAN",""
SCHOOL CERTIFICATE",""
BACHELOR DEGREE",""
"571","KANO","KANO CENTRAL","ADP","Senate","HARUNA NAFIU","None","38","M","FLSC SCHOOL WASC",""
"572","KANO","KANO SOUTH","APC","Senate","GAYA KABIRU IBRAHIM","None","66","M","GAYA PRIMARY",""
SCHOOL - PLS B/",""
KUDU SECONDARY",""
SCHOOL  WASC",""
COLLEGE OF",""
ADVANCED STUDIES",""
"573","KANO","KANO CENTRAL","APC","Senate","ABDULKARIM","None","45","M","FSLC WASC B.SC  POL.",""
"","","","","","ABDULSALAM SALEH","","","","SCI & PUB. ADMIN",""
"574","KANO","KANO NORTH","APC","Senate","BARAU, KANO I. JIBRIL","None","63","M","FIRST SCHOOL,LEAVING CERTIFICATE,
GENERAL",""
CERTIFICATE OF",""
EDUCATION MASTER",""
OF BUSS/ADMIN",""
(MBA)",""
"575","KANO","KANO CENTRAL","APGA","Senate","HAMISU  IBRAHIM","None","43","M","FIRST SCHOOL LEAVING CERTIFICATE",""
"576","KANO","KANO SOUTH","APM","Senate","ABUBAKAR ABUBAKAR","None","37","M","FIRST SCHOOL",""
"","","","","","AHMED","","","","LEAVING CERTIFICATE",""
SSCE NCE",""
FIRST SCHOOL LEAVING",""
"577","KANO","KANO CENTRAL","APM","Senate","HARUNA MOHAMMAD","None","39","M","",""
CERTIFICATE NABTEB/NTC",""
B.ENG.ELECTRICAL",""
FIRST SCHOOL LEAVING",""
"578","KANO","KANO NORTH","APM","Senate","MUHAMMADU SHU'AIBU","None","55","M","",""
CERTIFICATE HIGHER",""
ISLAMIC STUDIES (HIS)",""
INSTITUTE OF EDUCATION",""
"579","KANO","KANO CENTRAL","APP","Senate","SULEIMAN IBRAHIM","None","36","M","FSLC SSCE",""
"","","","","","ABUBAKAR","","","","",""
"580","KANO","KANO NORTH","LP","Senate","MUSTAPHA SHEHU","None","53","M","FSLC WAEC/GCE",""
"581","KANO","KANO SOUTH","LP","Senate","UMAR MUSA DARKI","None","62","M","FSLC WAEC/GCE",""
"582","KANO","KANO CENTRAL","LP","Senate","HARUNA IBRAHIM","None","56","M","FSLC WAEC/GCE",""
"","","","","","IBRAHIM","","","","",""
"583","KANO","KANO SOUTH","NNPP","Senate","KAWU SULEIMAN","None","54","M","PRIMARY LEAVING",""
CERTIFICATE SSCE",""
"","","","","","ABDURRAHAMAN","","","","",""
DIPLOMA EDUCATIONAL",""
MANAGEMENT (2002),",""
ADEM (2005), BA ISLAMIC",""
STUDIES (2016), MASTERS",""
IN DEVELOPMENT",""
STUDIES (2017), MSC PLO",""
SC. (2018), PHD POL. SCI.",""
(AWAITING RESULT) 2022)",""
SC",""
"584","KANO","KANO NORTH","NNPP","Senate","BAFFA ABDULLAHI BICHI","None","51","M","PRIMARY LEAVING",""
CERTIFICATE SSCE",""
PHD, MSC, BSC",""
"585","KANO","KANO CENTRAL","NNPP","Senate","SHEKARAU IBRAHIM","None","66","M","PRIMARY LEAVING",""
CERTIFICATE SSCE B.",""
SC. (ED) MATHEMATICS,",""
CERTIFICATE COURSE",""
ON GUIDANCE AND",""
COUNSELING",""
"586","KANO","KANO CENTRAL","NRM","Senate","RUFA'I AHMAD","None","52","M","FSLC SSCE",""
"","","","","","MUHAMMAD","","","","",""
"587","KANO","KANO SOUTH","NRM","Senate","MURTALA UMAR KUMURYA","None","54","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SENIOR SECONDARY",""
SCHOOL CERTIFICATE",""
GRADE 2 TEACHING",""
CERTIFICATE",""
"588","KANO","KANO NORTH","NRM","Senate","ABDULLAHI N. SHEHU","None","37","M","SSCE TEACHERS",""
TRAINING",""
"589","KANO","KANO NORTH","PDP","Senate","SAIDU AHMAD GWADABE","None","55","M","FSLC SSCE B.A",""
"590","KANO","KANO CENTRAL","PDP","Senate","NUHU DANBURAM","None","55","M","FSLC GCE MASTERS",""
"","","","","","ABUBAKAR","","","","IN BANKING AND",""
FINANCE",""
"591","KANO","KANO SOUTH","PDP","Senate","GALADANCHI MUHAMMAD","None","43","M","FSLC SSCE BSc.",""
"","","","","","HUSSARI BASHIR","","","","",""
"592","KANO","KANO NORTH","PRP","Senate","IDRIS ALIYU ZAKIRAI","None","67","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WAEC certificate B.SC",""
"593","KANO","KANO CENTRAL","PRP","Senate","HALILU SULEIMAN","None","67","M","FIRST SCHOOL",""
"","","","","","IBRAHIM","","","","LEAVING CERTIFICATE",""
WAEC certificate ND",""
"594","KANO","KANO CENTRAL","SDP","Senate","ABDULLAHI  MUHAMMED","None","46","M","PRIMARY SCHOOL",""
"","","","","","A.","","","","CERT SSCE",""
"595","KANO","KANO NORTH","YPP","Senate","SALE NAZIFI","None","39","M","FSLC WAEC",""
"596","KANO","KANO SOUTH","YPP","Senate","AHMAD MUHAMMED","None","42","M","FSLC WAEC",""
"","","","","","NURA","","","","",""
"597","KANO","KANO CENTRAL","YPP","Senate","SALISU SALISU UMAR","None","42","M","FSLC WAEC BSC",""
"598","KANO","KANO SOUTH","ZLP","Senate","ALHASSAN CHINDO","None","43","M","",""
"",
"601","KATSINA","KATSINA NORTH","A","Senate","NALADO MUHAMMAD","None","60","M","FSLC GRADE",""
"","","","","","LAWAL","","","","2 TEACHER'S",""
CERTIFICATE",""
"602","KATSINA","KATSINA","ADC","Senate","MANNIR  M. YUSUF","None","59","M","FIRST SCHOOL",""
"","","CENTRAL","","","GARWA","","","","LEAVING CERTIFICATE",""
SSCE DIPLOMA",""
CERTIFICATE",""
"603","KATSINA","KATSINA SOUTH","ADC","Senate","ABDULHAFIZ SA'IDU","None","35","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SSCE SCHOOL OF",""
HEALTH & TECH",""
KANKIA",""
"604","KATSINA","KATSINA NORTH","ADC","Senate","AMADU  ZARA","None","49","F","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SSCE HND",""
"605","KATSINA","KATSINA NORTH","APC","Senate","SANI ZANGON DAURA","None","54","M","PRIMARY SCHOOL",""
"","","","","","NASIRU","","","","LEAVING CERTIFICATE",""
O LEVEL ABU",""
"606","KATSINA","KATSINA","APC","Senate","YAR'ADUA ABDULAZIZ","None","58","M","MUSA YARADUA",""
"","","CENTRAL","","","MUSA","","","","QUARANIC MODEL",""
PRI SCHOOL  NIGERIA",""
MILITARY SCHOOL",""
ZARIA A.B.U ZARIA",""
"607","KATSINA","KATSINA SOUTH","APC","Senate","DANDUTSE MUNTARI","None","55","M","PRIMARY SCHOOL",""
"","","","","","MOHAMMED","","","","LEAVING CERTIFICATE",""
SECONDARY SCHOOL",""
CERT POSTGRADUATE",""
CERT",""
"608","KATSINA","KATSINA NORTH","NNPP","Senate","YANDOMA SEN. ABDU","None","69","M","FIRST SCHOOL",""
"","","","","","UMAR","","","","LEAVING CERTIFICATE",""
SSCE ADVANCE",""
DIPLOMA, DIPLOMA",""
"609","KATSINA","KATSINA","NNPP","Senate","GAMBO ABUBAKAR JALLI","None","74","M","FIRST SCHOOL",""
"","","CENTRAL","","","","","","","LEAVING CERTIFICATE",""
WAEC SCHOOL OF",""
PHARMACIES",""
"610","KATSINA","KATSINA SOUTH","NNPP","Senate","IBRAHIM BABANGIDA","None","57","M","FIRST SCHOOL",""
LEAVING",""
CERTIFICATE WAEC",""
ND,HND,PGDM,MBA",""
"611","KATSINA","KATSINA","NRM","Senate","MOHAMMED ZAINAB","None","43","F","FIRST SCHOOL",""
"","","CENTRAL","","","YUSUF","","","","LEAVING CERTIFICATE",""
SENIOR SECONDARY",""
SCHOOL CERTIFICATE",""
B.Sc",""
"612","KATSINA","KATSINA NORTH","PDP","Senate","AHMAD  BABBA KAITA","None","53","M","FSLC SSCE BSc.",""
"613","KATSINA","KATSINA","PDP","Senate","AMINU SIRAJO","None","49","M","FSLC SSCE BSc.",""
"","","CENTRAL","","","","","","","",""
"614","KATSINA","KATSINA SOUTH","PDP","Senate","SHEHU GARBA ABUBAKAR","None","61","M","FSLC SSCE Ph'D",""
"615","KATSINA","KATSINA","PRP","Senate","AMINU GIDE","None","67","M","FIRST SCHOOL",""
"","","CENTRAL","","","","","","","LEAVING CERTIFICATE",""
WAEC B.SC",""
"616","KATSINA","KATSINA NORTH","PRP","Senate","MAMUDA IBRAHIM","None","61","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
TCI NCE",""
"617","KATSINA","KATSINA SOUTH","PRP","Senate","DANSARAI MAGAJI","None","63","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WAEC Ph.D",""
"618","KATSINA","KATSINA","SDP","Senate","MOHAMMED MUSTAPHA","None","45","M","",""
"","","CENTRAL","","","KURFI","","","","",""
"619","KATSINA","KATSINA SOUTH","SDP","Senate","KASIMU LAWA; FUNTUA","None","68","M","FLSC WAEC ETC",""
"620","KATSINA","KATSINA NORTH","SDP","Senate","ABBA MUSTAPHA","None","58","M","",""
"621","KEBBI","KEBBI CENTRAL","AA","Senate","UMAR FARUK","None","67","M","F.S.L.C  WAEC MSc. ,ENGINEERING",""
"622","KEBBI","KEBBI NORTH","ADC","Senate","SHEHU AHMAD","None","39","M","",""
"623","KEBBI","KEBBI SOUTH","ADC","Senate","MAGAJI HALILU","None","54","M","",""
"624","KEBBI","KEBBI CENTRAL","ADC","Senate","MUHAMMAD JUNAIDU","None","36","M","",""
"625","KEBBI","KEBBI NORTH","APC","Senate","SULEIMAN HUSSAINI","None","67","M","PRIMARY SCHOOL",""
"","","","","","KANGIWA","","","","CERTIFICATE",""
WEST AFRICAN",""
"634","KEBBI","KEBBI SOUTH","NNPP","Senate","HARUNA ISAH RIBA","None","38","M","SSCE",""
"635","KEBBI","KEBBI NORTH","NNPP","Senate","ABUBAKAR SADIQ","None","43","M","PRIMARY",""
"","","","","","MUHAMMAD","","","","CERTIFICATE SSCE",""
"636","KEBBI","KEBBI CENTRAL","NNPP","Senate","ZAYYANU MAGAJI","None","43","M","SSCE",""
"637","KEBBI","KEBBI SOUTH","NRM","Senate","SAMAILA ABDULLAHI","None","49","M","FRIST SCHOOL",""
LEAVING",""
CERTIFICATE  WEST",""
AFRICAN HEALTH",""
EXAMINATION",""
"638","KEBBI","KEBBI CENTRAL","NRM","Senate","GARBA FARUK","None","38","M","",""
"639","KEBBI","KEBBI NORTH","PDP","Senate","ABDULLAHI YAHAYA","None","71","M","WAEC BSc (SOCIAL",""
"","","","","","ABUBAKAR","","","","SCIENCES)",""
"640","KEBBI","KEBBI CENTRAL","PDP","Senate","ADAMU MOHAMMED","None","65","M","FSLC WAEC BSc",""
"","","","","","MAINASARA ALIERO","","","","(POLITICAL SCIENCE)",""
"641","KEBBI","KEBBI SOUTH","PDP","Senate","MUSA GARBA","None","61","M","FSLC WAEC",""
"642","KEBBI","KEBBI SOUTH","PRP","Senate","ABUBAKAR SANUSI","None","63","F","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WAEC certificate B.A",""
(E.D)",""
"643","KEBBI","KEBBI CENTRAL","PRP","Senate","AHMED UMAR RUFAI","None","61","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WAEC certificate P.hD",""
"644","KEBBI","KEBBI NORTH","PRP","Senate","KANGIWA GARBA","None","65","M","FIRST SCHOOL",""
"","","","","","MUHAMMAD","","","","LEAVING CERTIFICATE",""
WAEC certificate M.A",""
"645","KEBBI","KEBBI CENTRAL","SDP","Senate","ABUBAKAR BELLO TILLI","None","65","M","FLSC WAEC MBA",""
"646","KEBBI","KEBBI SOUTH","SDP","Senate","DANLADI B MARAFA","None","61","M","FLSC GTC NCE",""
"647","KEBBI","KEBBI NORTH","SDP","Senate","ABDULLAHI ADAMU","None","47","M","FLSC NECO HND",""
"648","KEBBI","KEBBI NORTH","ZLP","Senate","ALIYU UMAR LADAN","None","36","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SSCE",""
"649","KEBBI","KEBBI CENTRAL","ZLP","Senate","MUHAMMED ZAYYANU","None","41","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WAEC ICAM",""
"650","KOGI","KOGI WEST","A","Senate","ESEYIN MOSES ADEOLA","None","44","M","",""
"651","KOGI","KOGI CENTRAL","AA","Senate","SULEMAN OHUNI AMINAT","None","49","F","F.L.S.C WAEC POST",""
GRADUATE DIPLOMA",""
"652","KOGI","KOGI WEST","ADC","Senate","WILLIAMS DELE, BELLO","None","39","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WASC WEST LONDON",""
UNIVERSITY",""
"653","KOGI","KOGI EAST","ADC","Senate","AMODU EDIME, HILARY","None","48","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WASC UNIVERSITY OF",""
ILORIN",""
"654","KOGI","KOGI CENTRAL","ADC","Senate","ALI MOSHOOD","None","58","M","",""
"655","KOGI","KOGI CENTRAL","ADP","Senate","ABDULHAMEED AUDU","None","40","M","FSLC NABTEB B.SC",""
"","","","","","OMUYA","","","","",""
"656","KOGI","KOGI EAST","ADP","Senate","MOSES ITODO","None","55","M","FLSC SCHOOL WASC",""
NATIONAL DIPLOMA",""
"657","KOGI","KOGI WEST","APC","Senate","KARIMI SUNDAY STEVE","None","60","M","FSLC WASC HND",""
"658","KOGI","KOGI EAST","APC","Senate","ISAH JIBRIN","None","62","M","FSLC WASC B.SC",""
ECONOMIS",""
"659","KOGI","KOGI CENTRAL","APC","Senate","OHERE SADIKU ABUBAKAR","None","56","M","WASC OND [ND",""
METALLURGY]",""
"660","KOGI","KOGI CENTRAL","APGA","Senate","NAJIM MOSES","None","46","M","FLSC WAEC B.TECH",""
"661","KOGI","KOGI EAST","APP","Senate","ONAYI  SUNDAY","None","35","M","FSLC SSCE",""
"662","KOGI","KOGI CENTRAL","LP","Senate","ABDUL YAHAYA","None","44","M","FSLC WASC/GCE IUB",""
"663","KOGI","KOGI EAST","LP","Senate","SYLVESTER PAT AMANAH","None","47","M","FSLC WASC/GCE",""
"664","KOGI","KOGI EAST","NNPP","Senate","ABDULLAHI MUHAMMED","None","49","M","PRIMARY",""
"","","","","","ABDULLAHI","","","","CERTIFICATE SSCE",""
"665","KOGI","KOGI WEST","NNPP","Senate","ABUBAKAR MUHAMMAD","None","42","M","PRIMARY",""
"","","","","","IBUKUN","","","","CERTIFICATE SSCE",""
"666","KOGI","KOGI CENTRAL","NNPP","Senate","ANAKOBE SALIU","None","54","M","PRIMARY",""
"","","","","","ABDULAZEEZ","","","","CERTIFICATE SSCE",""
HIGHER ADVANCED",""
DIPLOMA",""
"667","KOGI","KOGI WEST","NRM","Senate","DIRISU BALA","None","43","M","WAEC BSc",""
"","","","","","ABDULGHAFAR","","","","",""
"668","KOGI","KOGI EAST","NRM","Senate","IJELE ISAIAH DAVIES","None","37","M","FSLC SSCE",""
"669","KOGI","KOGI CENTRAL","NRM","Senate","WUSA AWALU","None","36","M","",""
"670","KOGI","KOGI WEST","PDP","Senate","YUSUF TAJUDEEN AYO","None","53","M","FSLC GCE B.A",""
"671","KOGI","KOGI CENTRAL","PDP","Senate","AKPOTI-UDUAGHAN","None","42","F","FSLC SSCE LLB",""
"","","","","","NATASHA HADIZA","","","","",""
"672","KOGI","KOGI EAST","PDP","Senate","ADOJI VICTOR ALEWO","None","51","M","FSLC SSCE BSC",""
"673","KOGI","KOGI CENTRAL","PRP","Senate","ABDULKADIR TAJUDEEN","None","48","M","FIRST SCHOOL LEAVING",""
CERTIFICATE SENIOR",""
SECONDARY SCHOOL",""
CERTIFICATE DIPLOMA",""
CERTIFICATE IN PUBLIC",""
ACCOUNTING AND",""
AUDITING",""
"674","KOGI","KOGI CENTRAL","SDP","Senate","MOSES PETER O.","None","58","M","",""
"675","KOGI","KOGI WEST","SDP","Senate","NDAKWO ABDULRAHMAN","None","53","M","FSLC WAEC(GCE)",""
"","","","","","TANKO","","","","BACHELORS OF LAW",""
"676","KOGI","KOGI EAST","SDP","Senate","EGBUNU JACOB","None","54","M","FSLC WAEC NCE",""
"677","KOGI","KOGI EAST","YPP","Senate","ABBAH EMMANUEL","None","52","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WAEC &  NECO B.A. IN",""
